Time;NOK;USD;DKK;PLN;SEK
2,67;0,759992932;0,368246145;0,930640511;0,530124687;0,510319299
2,68;0,757496989;0,360663429;0,926431248;0,526392339;0,502524156
2,69;0,755014919;0,353184357;0,922194164;0,522737131;0,494934339
2,7;0,752501869;0,345830025;0,917968538;0,519125928;0,487621995
2,71;0,749912989;0,33862153;0,913793646;0,515525593;0,480659272
2,72;0,747203425;0,33157997;0,909708769;0,511902989;0,47411832
2,73;0,744328326;0,32472644;0,905753184;0,508224981;0,468071286
2,74;0,74124284;0,31808204;0,90196617;0,504458432;0,462590318
2,75;0,737902116;0,311667865;0,898387004;0,500570207;0,457747565
2,76;0,734665373;0,30522244;0,894750404;0,496756094;0,453676438
2,77;0,731873824;0,298512612;0,890800074;0,493211794;0,450405453
2,78;0,729455599;0,291601966;0,886588773;0,489904034;0,447849419
2,79;0,727338826;0,284554085;0,882169261;0,486799542;0,445923148
2,8;0,725451638;0,277432554;0,877594299;0,483865044;0,444541446
2,81;0,723722163;0,270300955;0,872916646;0,481067268;0,443619125
2,82;0,722078533;0,263222872;0,868189061;0,478372942;0,443070993
2,83;0,720448877;0,256261889;0,863464305;0,475748793;0,44281186
2,84;0,718761326;0,249481591;0,858795138;0,473161549;0,442756534
2,85;0,71694401;0,242945559;0,854234319;0,470577936;0,442819825
2,86;0,714925059;0,236717379;0,849834608;0,467964683;0,442916543
2,87;0,712632604;0,230860634;0,845648766;0,465288516;0,442961496
2,88;0,709994774;0,225438908;0,841729551;0,462516164;0,442869494
2,89;0,706939701;0,220515784;0,838129724;0,459614353;0,442555347
2,9;0,703395513;0,216154846;0,834902044;0,456549811;0,441933863
2,91;0,699281713;0,212387177;0,832080426;0,45330851;0,440978515
2,92;0,694484926;0,208920003;0,829503416;0,450065458;0,440227964
2,93;0,689053567;0,205676487;0,827119862;0,446862447;0,439793038
2,94;0,683070064;0,202666583;0,82492737;0,443689318;0,439623914
2,95;0,676616848;0,199900246;0,822923547;0,440535911;0,439670771
2,96;0,669776348;0,197387429;0,821105997;0,437392068;0,439883785
2,97;0,662630994;0,195138085;0,819472328;0,434247628;0,440213135
2,98;0,655263214;0,193162168;0,818020145;0,431092434;0,440608998
2,99;0,64775544;0,191469632;0,816747055;0,427916325;0,44102155
3;0,6401901;0,19007043;0,815650664;0,424709142;0,441400971
3,01;0,632649624;0,188974517;0,814728578;0,421460727;0,441697436
3,02;0,625216442;0,188191846;0,813978402;0,418160919;0,441861124
3,03;0,617972983;0,187732371;0,813397744;0,414799559;0,441842213
3,04;0,611001677;0,187606045;0,812984209;0,411366488;0,441590879
3,05;0,604384952;0,187822822;0,812735404;0,407851548;0,441057301
3,06;0,59820524;0,188392656;0,812648934;0,404244578;0,440191655
3,07;0,592544969;0,1893255;0,812722406;0,400535419;0,438944119
3,08;0,587486569;0,190631309;0,812953426;0,396713912;0,437264872
3,09;0,58311247;0,192320036;0,813339599;0,392769898;0,435104089
3,1;0,57935654;0,194406133;0,814036302;0,388695146;0,43243453
3,11;0,575718909;0,196904839;0,815575202;0,384496905;0,429332457
3,12;0,572175906;0,199801911;0,817879447;0,380188241;0,425847565
3,13;0,568756076;0,203080869;0,820812238;0,375782069;0,422023613
3,14;0,565487967;0,206725232;0,824236777;0,371291302;0,41790436
3,15;0,562400127;0,21071852;0,828016266;0,366728853;0,413533564
3,16;0,559521102;0,215044251;0,832013906;0,362107636;0,408954985
3,17;0,55687944;0,219685945;0,836092899;0,357440565;0,40421238
3,18;0,554503688;0,224627122;0,840116446;0,352740552;0,399349509
3,19;0,552422392;0,2298513;0,843947748;0,348020512;0,394410131
3,2;0,550664101;0,235341998;0,847450008;0,343293358;0,389438003
3,21;0,54925736;0,241082737;0,850486427;0,338572003;0,384476886
3,22;0,548230718;0,247057035;0,852920207;0,333869361;0,379570537
