Date;NOK;USD;DKK;PLN;SEK;Month;Day
2016-05-11;0,5;0,806529625;0,186206897;0,731463696;0,318172421;5;11
2016-05-10;0,506232687;0,76541717;0,14137931;0,714944295;0,288815381;5;10
2016-05-09;0,479916898;0,789600967;0,131034483;0,692278141;0,278891875;5;9
2016-05-04;0,49099723;0,92261185;0,168965517;0,613138686;0,258217904;5;4
2016-05-03;0,4466759;1;0,237931034;0,577794852;0,191027496;5;3
2016-05-02;0,341412742;0,908101572;0,203448276;0,573568959;0,08724416;5;2
2016-04-29;0,316481994;0,799274486;0,293103448;0,624279677;0,063675832;4;29
2016-04-28;0,359418283;0,744860943;0,265517241;0,591625048;0,078974571;4;28
2016-04-27;0,297506925;0,678355502;0,251724138;0,606223588;0,047963614;4;27
2016-04-26;0,334210526;0,659008464;0,217241379;0,560507107;0,033905313;4;26
2016-04-25;0,397506925;0,631197098;0,217241379;0,603534383;0,039073806;4;25
2016-04-22;0,357063712;0,629987908;0,2;0,447944679;0;4;22
2016-04-21;0,297783934;0,741233374;0,193103448;0,286208221;0,095927228;4;21
2016-04-20;0,342243767;0,77025393;0,25862069;0,205532078;0,054165805;4;20
2016-04-19;0,375761773;0,726723096;0,234482759;0,263926239;0,081041968;4;19
2016-04-18;0,479224377;0,681983071;0,213793103;0,276219746;0,117221418;4;18
2016-04-15;0,440304709;0,655380895;0,203448276;0,240875912;0,107711391;4;15
2016-04-14;0,38434903;0,61668682;0,206896552;0,250480215;0,041141203;4;14
2016-04-13;0,449861496;0,672309553;0,255172414;0,203227046;0,078354352;4;13
2016-04-12;0,505540166;0,790810157;0,272413793;0,22397234;0,156501964;4;12
2016-04-11;0,546260388;0,783555018;0,237931034;0,174029965;0,296464751;4;11
2016-04-08;0,598060942;0,750906892;0,220689655;0,235497503;0,319826339;4;8
2016-04-07;0,64833795;0,752116082;0,213793103;0,18939685;0,246847219;4;7
2016-04-06;0,677977839;0,718258767;0,196551724;0,113714944;0,257804424;4;6
2016-04-05;0,710526316;0,755743652;0,227586207;0,041490588;0,243746124;4;5
2016-04-04;0,622437673;0,77146312;0,35862069;0;0,229894563;4;4
2016-04-01;0,628254848;0,834340992;0,510344828;0,038417211;0,213355386;4;1
2016-03-31;0,592797784;0,777509069;0,54137931;0,090664618;0,180277031;3;31
2016-03-30;0,614265928;0,703748489;0,606896552;0,076066078;0,214802564;3;30
2016-03-24;0,702908587;0,498186215;0,65862069;0,172109105;0,270208807;3;24
2016-03-23;0,692243767;0,518742443;0,644827586;0,08567038;0,193094894;3;23
2016-03-22;0,637811634;0,568319226;0,64137931;0,104494814;0,193094894;3;22
2016-03-21;0,63199446;0,639661427;0,651724138;0,092585478;0,23919785;3;21
2016-03-18;0,588088643;0,649334946;0,644827586;0,109489051;0,287781683;3;18
2016-03-17;0,679085873;0,688029021;0,682758621;0,213215521;0,321273517;3;17
2016-03-16;0,71398892;0,389359129;0,724137931;0,262389551;0,176555716;3;16
2016-03-15;0,683518006;0,443772672;0,765517241;0,210910488;0,215009303;3;15
2016-03-14;0,592105263;0,455864571;0,793103448;0,190933538;0,295431052;3;14
2016-03-11;0,622576177;0,420798065;0,837931034;0,291586631;0,353318172;3;11
2016-03-10;0,423961219;0,139056832;0,8;0,223203995;0,20260492;3;10
2016-03-09;0,567728532;0,279322854;0,893103448;0,310795236;0,318172421;3;9
2016-03-08;0,612188366;0,345828295;0,893103448;0,359200922;0,48521811;3;8
2016-03-07;0,514958449;0,255139057;0,862068966;0,36073761;0,39859417;3;7
2016-03-04;0,549168975;0,275695284;0,875862069;0,373799462;0,4060368;3;4
2016-03-03;0,606648199;0,192261185;0,724137931;0,383787937;0,462890221;3;3
2016-03-02;0,603185596;0,137847642;0,775862069;0,367652708;0,414306388;3;2
2016-03-01;0,582409972;0,15719468;0,813793103;0,433346139;0,469092413;3;1
2016-02-29;0,717174515;0,176541717;0,851724138;0,462159047;0,379987596;2;29
2016-02-26;0,745152355;0,319226119;0,844827586;0,495966193;0,481496796;2;26
2016-02-25;0,768421053;0,344619105;0,903448276;0,476757587;0,501757288;2;25
2016-02-24;0,830055402;0,288996372;0,917241379;0,514790626;0,466198057;2;24
2016-02-23;0,654432133;0,314389359;0,906896552;0,510180561;0,440148853;2;23
2016-02-22;0,701523546;0,343409915;0,913793103;0,501728774;0,452966715;2;22
2016-02-19;0,760803324;0,428053204;0,931034483;0,552055321;0,507959479;2;19
2016-02-18;0,743767313;0,413542926;0,965517241;0,567422205;0,544345669;2;18
2016-02-17;0,843490305;0,476420798;1;0,629658087;0,690924127;2;17
2016-02-16;0,856509695;0,512696493;0,996551724;0,661544372;0,694852181;2;16
2016-02-15;0,893074792;0,529625151;0,975862069;0,616596235;0,719660947;2;15
2016-02-12;0,956786704;0,644498186;0,989655172;0,679600461;0,655158156;2;12
2016-02-11;1;0,731559855;0,975862069;0,824049174;0,787058094;2;11
2016-02-10;0,876731302;0,622732769;0,975862069;0,748751441;0,781682861;2;10
2016-02-09;0,947368421;0,597339782;0,965517241;0,841336919;0,777548067;2;9
2016-02-05;0,8033241;0,556227328;0,944827586;0,689204764;0,60864172;2;5
2016-02-04;0,763157895;0,561064087;0,944827586;0,696119862;0,548893943;2;4
2016-02-03;0,73033241;0,23095526;0,924137931;0,630810603;0,454620633;2;3
2016-02-02;0,742105263;0,214026602;0,94137931;0,658855167;0,425056853;2;2
2016-01-29;0,689750693;0,215235792;0,94137931;0,790626201;0,43456688;1;29
2016-01-28;0,637119114;0,194679565;0,934482759;0,842873607;0,344221625;1;28
2016-01-27;0,643074792;0,176541717;0,931034483;0,910487899;0,250155055;1;27
2016-01-26;0,691551247;0,114873035;0,920689655;0,999615828;0,26111226;1;26
2016-01-25;0,653739612;0,088270859;0,927586207;0,902804456;0,284680587;1;25
2016-01-22;0,667590028;0,07980653;0,917241379;0,863234729;0,280545793;1;22
2016-01-21;0,992797784;0,182587666;0,948275862;1;0,443663428;1;21
2016-01-20;0,939750693;0,199516324;0,975862069;0,907414522;0,423816415;1;20
2016-01-19;0,87867036;0,15235792;0,94137931;0,785247791;0,382468472;1;19
2016-01-18;0,97132964;0,181378476;0,95862069;0,870533999;0,419681621;1;18
2016-01-15;0,861495845;0,207980653;0,951724138;0,687283903;0,432706223;1;15
2016-01-14;0,859556787;0,182587666;0,927586207;0,533999232;0,303700641;1;14
2016-01-13;0,79265928;0,089480048;0,893103448;0,429504418;0,223072152;1;13
2016-01-12;0,903462604;0,113663845;0,886206897;0,47176335;0,227827166;1;12
2016-01-11;0,956371191;0,176541717;0,855172414;0,501728774;0,276824478;1;11
2016-01-08;0,961911357;0,143893591;0,837931034;0,454475605;0,260285301;1;8
2016-01-06;0,880886427;0;0,855172414;0,397233961;0,196195989;1;6
2016-01-05;0,833102493;0,004836759;0,862068966;0,285824049;0,176555716;1;5
2016-01-04;0,915512465;0,188633615;0,913793103;0,236265847;0,06512301;1;4
